2025-11-17 11:52:18,021 - INFO - batch_audio_translate_en_new.py:299 - 单独翻译结果已保存：C:\S2TT\Test_out\seed2_single_txt_results\多信道测试集-八爪鱼\大会议室多信道测试集_4m\ByteDance_1_dialogue_16K\en2zh-09-sport_audio_fanyi_seed2.txt
2025-11-17 11:52:18,024 - INFO - batch_audio_translate_en_new.py:186 - 已更新目录汇总文件：C:\S2TT\Test_out\seed2_txt\多信道测试集-八爪鱼\大会议室多信道测试集_4m\output_en2zh_seed2.txt
2025-11-17 11:52:18,024 - INFO - batch_audio_translate_en_new.py:186 - 已更新目录汇总文件：C:\S2TT\Test_out\seed2_txt\多信道测试集-八爪鱼\大会议室多信道测试集_4m\latency_stats_en2zh_seed2.txt
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:335 - 
【en2zh-09-sport_audio.wav 完整时延统计】
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:339 - 请求开始时间：2025-11-17 11:48:29
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:340 - ASR首字时延：10.407 秒
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:341 - ASR尾字时延：-0.449 秒
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:342 - 翻译首字时延：10.21 秒
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:343 - 翻译尾字时延：0.096 秒
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:344 - 耳口差时延：11.436 秒
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:345 - TTS尾字时延：0.31 秒
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:388 - ===== 第 29/30 个文件 en2zh-09-sport_audio.wav 处理完成！=====
2025-11-17 11:52:18,033 - INFO - batch_audio_translate_en_new.py:268 - 
===== 处理第 30/30 个文件（目录内第 10/10 个）：en2zh-10-art_audio.wav =====
2025-11-17 11:52:18,049 - INFO - ast_demo_en.py:241 - 成功读取音频：en2zh-10-art_audio.wav，共2648个分片
2025-11-17 11:52:18,216 - INFO - ast_demo_en.py:255 - 连接API成功（log_id=20251117115218EBFC3591B5263B0C28A1）
2025-11-17 11:52:18,376 - INFO - ast_demo_en.py:283 - 会话启动成功（session_id=6f0cee8e-54e9-4da1-87b9-d3c73de45f09）
2025-11-17 11:52:18,376 - INFO - ast_demo_en.py:301 - 开始发送音频分片，请求开始时间：1763351538.376460
2025-11-17 11:52:29,023 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=1）：ASR分片=..., 翻译分片=法国..., 音频长度=0
2025-11-17 11:52:32,862 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=2）：ASR分片=..., 翻译分片=礼物..., 音频长度=0
2025-11-17 11:52:32,888 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=2）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:32,911 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=2）：ASR分片=..., 翻译分片=。..., 音频长度=0
2025-11-17 11:52:33,014 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=2）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:33,120 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=2）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:33,223 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=2）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:33,313 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=2）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:33,408 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=2）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:33,455 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=2）：ASR分片=..., 翻译分片=..., 音频长度=6144
2025-11-17 11:52:33,455 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=2）：ASR分片=..., 翻译分片=..., 音频长度=1684
2025-11-17 11:52:37,664 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=3）：ASR分片=..., 翻译分片=给..., 音频长度=0
2025-11-17 11:52:37,713 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=3）：ASR分片=..., 翻译分片=红衣..., 音频长度=0
2025-11-17 11:52:37,761 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=3）：ASR分片=..., 翻译分片=主教..., 音频长度=0
2025-11-17 11:52:37,808 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=3）：ASR分片=..., 翻译分片=弗朗..., 音频长度=0
2025-11-17 11:52:37,824 - INFO - ast_demo_en.py:338 - 接收有效响应（event=651, seq=3）：ASR分片=The cardinal Francesco Barbari..., 翻译分片=..., 音频长度=0
2025-11-17 11:52:37,856 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=3）：ASR分片=..., 翻译分片=切..., 音频长度=0
2025-11-17 11:52:37,889 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=3）：ASR分片=..., 翻译分片=..., 音频长度=10318
2025-11-17 11:52:37,903 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=3）：ASR分片=..., 翻译分片=斯科..., 音频长度=0
2025-11-17 11:52:37,951 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=3）：ASR分片=..., 翻译分片=·..., 音频长度=0
2025-11-17 11:52:38,017 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=3）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:38,018 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=3）：ASR分片=..., 翻译分片=巴..., 音频长度=0
2025-11-17 11:52:38,047 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=3）：ASR分片=..., 翻译分片=贝..., 音频长度=0
2025-11-17 11:52:38,097 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=3）：ASR分片=..., 翻译分片=里..., 音频长度=0
2025-11-17 11:52:38,135 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=3）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:38,143 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=3）：ASR分片=..., 翻译分片=尼..., 音频长度=0
2025-11-17 11:52:38,192 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=3）：ASR分片=..., 翻译分片=。..., 音频长度=0
2025-11-17 11:52:38,257 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=3）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:38,374 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=3）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:38,490 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=3）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:38,634 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=3）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:38,655 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=3）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:38,759 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=3）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:38,820 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=3）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:38,820 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=3）：ASR分片=..., 翻译分片=..., 音频长度=60
2025-11-17 11:52:38,876 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=4）：ASR分片=..., 翻译分片=这幅..., 音频长度=0
2025-11-17 11:52:38,924 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=4）：ASR分片=..., 翻译分片=画..., 音频长度=0
2025-11-17 11:52:38,973 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=4）：ASR分片=..., 翻译分片=并非..., 音频长度=0
2025-11-17 11:52:39,021 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=4）：ASR分片=..., 翻译分片=鲁..., 音频长度=0
2025-11-17 11:52:39,070 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=4）：ASR分片=..., 翻译分片=本..., 音频长度=0
2025-11-17 11:52:39,105 - INFO - ast_demo_en.py:338 - 接收有效响应（event=651, seq=4）：ASR分片=wasn't paid by Rubens...., 翻译分片=..., 音频长度=0
2025-11-17 11:52:39,105 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=4）：ASR分片=..., 翻译分片=..., 音频长度=10318
2025-11-17 11:52:39,116 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=4）：ASR分片=..., 翻译分片=斯..., 音频长度=0
2025-11-17 11:52:39,164 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=4）：ASR分片=..., 翻译分片=所..., 音频长度=0
2025-11-17 11:52:39,211 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=4）：ASR分片=..., 翻译分片=绘..., 音频长度=0
2025-11-17 11:52:39,231 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=4）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:39,261 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=4）：ASR分片=..., 翻译分片=。..., 音频长度=0
2025-11-17 11:52:39,348 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=4）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:39,461 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=4）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:39,557 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=4）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:39,660 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=4）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:39,686 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=4）：ASR分片=..., 翻译分片=..., 音频长度=2048
2025-11-17 11:52:39,687 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=4）：ASR分片=..., 翻译分片=..., 音频长度=1244
2025-11-17 11:52:44,283 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=5）：ASR分片=..., 翻译分片=如果..., 音频长度=0
2025-11-17 11:52:44,331 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=5）：ASR分片=..., 翻译分片=鲁..., 音频长度=0
2025-11-17 11:52:44,378 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=5）：ASR分片=..., 翻译分片=本..., 音频长度=0
2025-11-17 11:52:44,425 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=5）：ASR分片=..., 翻译分片=斯..., 音频长度=0
2025-11-17 11:52:44,474 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=5）：ASR分片=..., 翻译分片=存在..., 音频长度=0
2025-11-17 11:52:44,581 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=5）：ASR分片=..., 翻译分片=..., 音频长度=10318
2025-11-17 11:52:44,582 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=5）：ASR分片=..., 翻译分片=，..., 音频长度=0
2025-11-17 11:52:44,582 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=5）：ASR分片=..., 翻译分片=这幅..., 音频长度=0
2025-11-17 11:52:44,620 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=5）：ASR分片=..., 翻译分片=画..., 音频长度=0
2025-11-17 11:52:44,652 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=5）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:44,666 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=5）：ASR分片=..., 翻译分片=会..., 音频长度=0
2025-11-17 11:52:44,674 - INFO - ast_demo_en.py:338 - 接收有效响应（event=651, seq=5）：ASR分片=Pay, pay, if I rules exist, bu..., 翻译分片=..., 音频长度=0
2025-11-17 11:52:44,715 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=5）：ASR分片=..., 翻译分片=有所..., 音频长度=0
2025-11-17 11:52:44,761 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=5）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:44,761 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=5）：ASR分片=..., 翻译分片=不同..., 音频长度=0
2025-11-17 11:52:44,810 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=5）：ASR分片=..., 翻译分片=。..., 音频长度=0
2025-11-17 11:52:44,881 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=5）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:45,000 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=5）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:45,105 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=5）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:45,193 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=5）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:45,290 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=5）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:45,390 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=5）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:45,421 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=5）：ASR分片=..., 翻译分片=..., 音频长度=4096
2025-11-17 11:52:45,422 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=5）：ASR分片=..., 翻译分片=..., 音频长度=1992
2025-11-17 11:52:46,316 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=6）：ASR分片=..., 翻译分片=这..., 音频长度=0
2025-11-17 11:52:46,361 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=6）：ASR分片=..., 翻译分片=是..., 音频长度=0
2025-11-17 11:52:46,411 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=6）：ASR分片=..., 翻译分片=一幅..., 音频长度=0
2025-11-17 11:52:46,479 - INFO - ast_demo_en.py:338 - 接收有效响应（event=651, seq=6）：ASR分片=25 foot wide tapestries...., 翻译分片=..., 音频长度=0
2025-11-17 11:52:46,512 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=6）：ASR分片=..., 翻译分片=2..., 音频长度=0
2025-11-17 11:52:46,558 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=6）：ASR分片=..., 翻译分片=5..., 音频长度=0
2025-11-17 11:52:46,655 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=6）：ASR分片=..., 翻译分片=英尺..., 音频长度=0
2025-11-17 11:52:46,705 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=6）：ASR分片=..., 翻译分片=宽..., 音频长度=0
2025-11-17 11:52:46,752 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=6）：ASR分片=..., 翻译分片=的..., 音频长度=0
2025-11-17 11:52:46,800 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=6）：ASR分片=..., 翻译分片=挂..., 音频长度=0
2025-11-17 11:52:46,851 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=6）：ASR分片=..., 翻译分片=毯..., 音频长度=0
2025-11-17 11:52:46,897 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=6）：ASR分片=..., 翻译分片=。..., 音频长度=0
2025-11-17 11:52:47,244 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=6）：ASR分片=..., 翻译分片=..., 音频长度=10318
2025-11-17 11:52:47,293 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=6）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:47,340 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=6）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:47,382 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=6）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:47,420 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=6）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:47,475 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=6）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:47,510 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=6）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:47,553 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=6）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:47,553 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=6）：ASR分片=..., 翻译分片=..., 音频长度=308
2025-11-17 11:52:49,915 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=由..., 音频长度=0
2025-11-17 11:52:49,967 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=鲁..., 音频长度=0
2025-11-17 11:52:50,013 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=本..., 音频长度=0
2025-11-17 11:52:50,060 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=斯..., 音频长度=0
2025-11-17 11:52:50,108 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=设计..., 音频长度=0
2025-11-17 11:52:50,150 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=7）：ASR分片=..., 翻译分片=..., 音频长度=10318
2025-11-17 11:52:50,156 - INFO - ast_demo_en.py:338 - 接收有效响应（event=651, seq=7）：ASR分片=Golden turban was his design w..., 翻译分片=..., 音频长度=0
2025-11-17 11:52:50,156 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=，..., 音频长度=0
2025-11-17 11:52:50,208 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=用..., 音频长度=0
2025-11-17 11:52:50,278 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=7）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:50,279 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=金线..., 音频长度=0
2025-11-17 11:52:50,317 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=和..., 音频长度=0
2025-11-17 11:52:50,363 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=银..., 音频长度=0
2025-11-17 11:52:50,407 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=7）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:50,412 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=线..., 音频长度=0
2025-11-17 11:52:50,460 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=织..., 音频长度=0
2025-11-17 11:52:50,509 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=成..., 音频长度=0
2025-11-17 11:52:50,535 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=7）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:50,561 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=7）：ASR分片=..., 翻译分片=。..., 音频长度=0
2025-11-17 11:52:50,652 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=7）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:50,764 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=7）：ASR分片=..., 翻译分片=..., 音频长度=14336
2025-11-17 11:52:50,865 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=7）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:50,954 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=7）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:51,051 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=7）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:51,142 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=7）：ASR分片=..., 翻译分片=..., 音频长度=12288
2025-11-17 11:52:51,143 - INFO - ast_demo_en.py:338 - 接收有效响应（event=352, seq=7）：ASR分片=..., 翻译分片=..., 音频长度=2046
2025-11-17 11:52:53,130 - INFO - ast_demo_en.py:338 - 接收有效响应（event=654, seq=8）：ASR分片=..., 翻译分片=其..., 音频长度=0
